type,dataSize[KB],time[ns]
ffiMemset,1,961
ffiMemsetWithListView,1,326
ffiMemsetAndConvert,1,16128
MethodChannelMemset,1,106342
ffiMemset,2,227
ffiMemsetWithListView,2,275
ffiMemsetAndConvert,2,20108
MethodChannelMemset,2,87340
ffiMemset,4,255
ffiMemsetWithListView,4,256
ffiMemsetAndConvert,4,54071
MethodChannelMemset,4,66510
ffiMemset,8,229
ffiMemsetWithListView,8,263
ffiMemsetAndConvert,8,79753
MethodChannelMemset,8,50576
ffiMemset,16,290
ffiMemsetWithListView,16,356
ffiMemsetAndConvert,16,149172
MethodChannelMemset,16,45623
ffiMemset,32,872
ffiMemsetWithListView,32,845
ffiMemsetAndConvert,32,292113
MethodChannelMemset,32,57723
ffiMemset,64,1832
ffiMemsetWithListView,64,1639
ffiMemsetAndConvert,64,575491
MethodChannelMemset,64,77142
ffiMemset,128,2822
ffiMemsetWithListView,128,2360
ffiMemsetAndConvert,128,1142170
MethodChannelMemset,128,104518
ffiMemset,256,5937
ffiMemsetWithListView,256,7042
ffiMemsetAndConvert,256,2362173
MethodChannelMemset,256,318811
ffiMemset,512,12201
ffiMemsetWithListView,512,12413
ffiMemsetAndConvert,512,4909153
MethodChannelMemset,512,1182319
ffiMemset,1024,24434
ffiMemsetWithListView,1024,25549
ffiMemsetAndConvert,1024,9905840
MethodChannelMemset,1024,2685273
ffiMemset,2048,45987
ffiMemsetWithListView,2048,42944
ffiMemsetAndConvert,2048,18978981
MethodChannelMemset,2048,5431049
ffiMemset,4096,117817
ffiMemsetWithListView,4096,113300
ffiMemsetAndConvert,4096,38311572
MethodChannelMemset,4096,12534994
ffiMemset,8192,277969
ffiMemsetWithListView,8192,270438
ffiMemsetAndConvert,8192,79352872
MethodChannelMemset,8192,28311753
